Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
54,"460,8793","06-05-2018 13:17:32,395","400,7767",2,1,"1,49992942810059","3,59636878967285","0,166973784565926",0,"0,587055325508118",0,,,"0,0001068115234375",,"34,4458308875725","34,7287368774414"
55,"470,8802","06-05-2018 13:17:42,396","410,7776",2,1,"1,49995422363281","3,59745216369629","0,171146482229233",0,"0,60206413269043",0,,,"8,7738037109375E-05",,"34,504020690918","34,8182525634766"
56,"480,8891","06-05-2018 13:17:52,405","420,7865",2,1,"1,49997711181641","3,59857845306397","0,175299197435379",0,"0,61700576543808",0,,,"0,00012969970703125",,"34,5360180518929","34,822452545166"
57,"490,8953","06-05-2018 13:18:02,411","430,7927",2,1,"1,49995803833008","3,59979152679443","0,179485961794853",0,"0,63207471370697",0,,,"0,000103950500488281",,"34,5332298278809","34,7266464233398"
58,"500,9036","06-05-2018 13:18:12,419","440,801",2,1,"1,49996757507324","3,60107040405273","0,183646813035011",0,"0,647055566310883",0,,,"0,000164985656738281",,"34,5773887634277","34,8266410827637"
59,"510,9058","06-05-2018 13:18:22,421","450,8032",2,1,"1,49997138977051","3,60236072540283","0,187817946076393",0,"0,662078738212585",0,,,"0,000149726867675781",,"34,6194343566895","34,7993011474609"
60,"520,9129","06-05-2018 13:18:32,429","460,8103",2,1,"1,49996185302734","3,60363674163818","0,191989406943321",0,"0,677108585834503",0,,,"0,000138282775878906",,"34,6322477967612","34,7904319763184"
61,"530,9172","06-05-2018 13:18:42,433","470,8146",2,1,"1,49997138977051","3,60497665405273","0,196161642670631",0,"0,69214653968811",0,,,"0,000130653381347656",,"34,6575046548944","34,7904319763184"
62,"540,9204","06-05-2018 13:18:52,436","480,8178",2,1,"1,49992370605469","3,60649013519287","0,200328171253204",0,"0,707170009613037",0,,,"0,000158309936523438",,"34,6614723205566","34,7766380310059"
63,"550,9224","06-05-2018 13:19:02,438","490,8198",2,1,"1,49995040893555","3,60781097412109","0,204494640231133",0,"0,722199022769928",0,,,"0,000135421752929688",,"34,6672782897949","34,7724380493164"
64,"560,9278","06-05-2018 13:19:12,443","500,8252",2,1,"1,49995422363281","3,60914516448975","0,208664461970329",0,"0,737245678901672",0,,,"0,000121116638183594",,"34,6745337714785","34,787616578033"
65,"570,9293","06-05-2018 13:19:22,445","510,8267",2,1,"1,49995994567871","3,61051273345947","0,212832152843475",0,"0,75229024887085",0,,,"0,000124931335449219",,"34,7408714294434","34,8275756835938"
66,"580,9323","06-05-2018 13:19:32,448","520,8297",2,1,"1,49995040893555","3,61179256439209","0,216994315385818",0,"0,767320573329926",0,,,"0,000131607055664063",,"34,7637555695671","34,7873954772949"
67,"590,9356","06-05-2018 13:19:42,451","530,833",2,1,"1,49995994567871","3,61322021484375","0,2211554646492",0,"0,782352685928345",0,,,"0,000144004821777344",,"34,7209968566895","34,7560729980469"
68,"600,9406","06-05-2018 13:19:52,456","540,838",2,1,"1,49999046325684","3,61445903778076","0,225323125720024",0,"0,797413945198059",0,,,"0,000143051147460938",,"34,7392044067383","34,7661361694336"
69,"610,9412","06-05-2018 13:20:02,457","550,8386",2,1,"1,50002098083496","3,61576461791992","0,229502707719803",0,"0,812523722648621",0,,,"0,000156402587890625",,"34,6672782897949","34,7967147827148"
70,"620,9502","06-05-2018 13:20:12,466","560,8476",2,1,"1,49996757507324","3,6173152923584","0,233664155006409",0,"0,827573180198669",0,,,"0,000210762023925781",,"33,8185958862305","33,4784507751465"
71,"630,9516","06-05-2018 13:20:22,467","570,849",2,1,"1,4999885559082","3,61858463287354","0,237838074564934",0,"0,842675268650055",0,,,"-8,58306884765625E-05",,"32,7820652649783","32,8260765075684"
72,"640,9603","06-05-2018 13:20:32,476","580,8577",2,1,"1,49999809265137","3,61945056915283","0,242004126310349",0,"0,857752203941345",0,,,"9,25064086914063E-05",,"32,5656051635742","32,9067611694336"
73,"650,9683","06-05-2018 13:20:42,484","590,8657",2,1,"1,49996757507324","3,62060451507568","0,246174871921539",0,"0,872850358486176",0,,,"0,000168800354003906",,"33,5328521728516","34,0517807006836"
74,"660,9748","06-05-2018 13:20:52,490","600,8722",2,1,"1,49995803833008","3,6218147277832","0,250345915555954",0,"0,887954592704773",0,,,"0,000139236450195313",,"33,9961128234863","34,5169067382813"
75,"670,9763","06-05-2018 13:21:02,492","610,8737",2,1,"1,49994087219238","3,62306213378906","0,254506051540375",0,"0,903024256229401",0,,,"0,000184059143066406",,"34,1791630562468","34,8406600952148"
76,"680,982","06-05-2018 13:21:12,498","620,8794",2,1,"1,49996566772461","3,6283655166626","0,258677929639816",0,"0,918153464794159",0,,,"0,000030517578125",,"33,3411205896959","34,8051643371582"
77,"687,6067","06-05-2018 13:21:19,122","627,5041",2,1,"1,50000190734863","3,64055919647217","0,261437863111496",0,"0,92816823720932",0,,,"0,000805854797363281",,"32,5585892198303","34,8387794494629"
78,"697,6107","06-05-2018 13:21:29,126","637,5081",2,1,"1,49996185302734","3,63773727416992","0,2656110227108",0,"0,943355321884155",0,,,"-0,000513076782226563",,"32,0767974853516","32,0461235046387"
79,"707,6156","06-05-2018 13:21:39,131","647,513",2,1,"1,49997138977051","3,63780307769775","0,269776791334152",0,"0,958508968353272",0,,,"2,86102294921875E-06",,"31,8797874450684","31,9958324432373"
80,"717,6244","06-05-2018 13:21:49,140","657,5218",2,1,"1,49996566772461","3,63844299316406","0,273947030305862",0,"0,973680555820465",0,,,"6,96182250976563E-05",,"32,8031539916992","33,1826362609863"
81,"727,6271","06-05-2018 13:21:59,143","667,5245",2,1,"1,5000057220459","3,63937950134277","0,278114587068558",0,"0,988845884799957",0,,,"0,000104904174804688",,"33,6496047973633","34,1725807189941"
82,"737,6334","06-05-2018 13:22:09,149","677,5308",2,1,"1,4999885559082","3,64038753509522","0,282283008098602",0,"1,00401842594147",0,,,"0,000128746032714844",,"34,1053009033203","34,5157241821289"
83,"747,6348","06-05-2018 13:22:19,150","687,5322",2,1,"1,49997520446777","3,6412992477417","0,286445587873459",0,"1,01917386054993",0,,,"8,392333984375E-05",,"34,3965157955341","34,6992721557617"
84,"757,6415","06-05-2018 13:22:29,157","697,5389",2,1,"1,49996948242188","3,64250373840332","0,290619164705277",0,"1,03437352180481",0,,,"0,000155448913574219",,"34,5238453031082","34,7560729980469"
85,"767,6447","06-05-2018 13:22:39,160","707,5421",2,1,"1,49993515014648","3,64379405975342","0,294788688421249",0,"1,04956364631653",0,,,"0,000104904174804688",,"34,6180229187012","34,780158996582"
86,"777,6463","06-05-2018 13:22:49,162","717,5437",2,1,"1,49994659423828","3,645094871521","0,298952877521515",0,"1,06473982334137",0,,,"9,918212890625E-05",,"34,6756744384766","34,8273468017578"
87,"787,6526","06-05-2018 13:22:59,168","727,55",2,1,"1,49997138977051","3,64629745483398","0,303124010562897",0,"1,07994651794434",0,,,"0,000117301940917969",,"34,7258796691895","34,8818016052246"
88,"797,6574","06-05-2018 13:23:09,173","737,5548",2,1,"1,49997711181641","3,64736270904541","0,307295620441437",0,"1,09515964984894",0,,,"0,000171661376953125",,"34,7097778320313","34,7450942993164"
89,"807,6614","06-05-2018 13:23:19,177","747,5588",2,1,"1,49997711181641","3,64851093292236","0,311454683542252",0,"1,11033153533936",0,,,"0,000138282775878906",,"34,700653167382","32,9067611694336"
