Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
38,"286,6637","07-12-2018 08:39:56,431","226,5695",2,1,"1,50012016296387","3,53463554382324","0,0943647399544716",0,"0,32475158572197",0,,,"0,000471115112304688",,"34,1866645812988","34,537223815918"
39,"296,6652","07-12-2018 08:40:06,432","236,571",2,1,"1,49980926513672","3,5393648147583","0,0985309779644013",0,"0,339487731456757",0,,,"0,000485420227050781",,"34,192512512207","34,4799423217773"
40,"306,6681","07-12-2018 08:40:16,435","246,5739",2,1,"1,49983406066895","3,54390144348145","0,102696634829044",0,"0,354241132736206",0,,,"0,000446319580078125",,"34,268016060369","34,5362924664471"
41,"316,6715","07-12-2018 08:40:26,438","256,5773",2,1,"1,49982643127441","3,54824066162109","0,106863401830196",0,"0,369016915559769",0,,,"0,00042724609375",,"34,2336269082974","34,5664664201782"
42,"326,6719","07-12-2018 08:40:36,439","266,5777",2,1,"1,49985504150391","3,55238056182861","0,111028879880905",0,"0,383805751800537",0,,,"0,000418663024902344",,"34,2813682556152","34,5753402709961"
43,"336,6741","07-12-2018 08:40:46,441","276,5799",2,1,"1,49992179870605","3,55632877349854","0,115194797515869",0,"0,398612976074219",0,,,"0,000423431396484375",,"34,3045272827148","34,5061225891113"
44,"346,6746","07-12-2018 08:40:56,442","286,5804",2,1,"1,49986839294434","3,55998420715332","0,11935967952013",0,"0,413432389497757",0,,,"0,000417709350585938",,"34,280200958252","34,5984992980957"
45,"356,6772","07-12-2018 08:41:06,444","296,583",2,1,"1,50016403198242","3,56333446502686","0,123525477945805",0,"0,428269624710083",0,,,"0,000309944152832031",,"34,3170967102051","34,5814208984375"
46,"366,6789","07-12-2018 08:41:16,446","306,5847",2,1,"1,49994850158691","3,56625843048096","0,127692326903343",0,"0,443123668432236",0,,,"0,000321388244628906",,"34,3332405090332","34,5362930297852"
47,"376,6799","07-12-2018 08:41:26,447","316,5857",2,1,"1,50019073486328","3,5687427520752","0,131857469677925",0,"0,457982927560806",0,,,"0,000203132629394531",,"34,3615338357474","34,523651249452"
